Source,Destination,Property
0,18,1
4,18,1
10,18,1
11,18,1
15,18,1
16,18,1
18,59,1
18,118,1
18,128,1
18,136,1
18,137,1
18,420,1
18,722,1
18,735,1
18,790,1
18,848,1
18,1176,1
18,1191,1
18,1398,1
18,1399,1
18,1438,1
18,1453,1
18,1716,1
18,1754,1
18,1890,1
18,1891,1
18,1892,1
18,1893,1
18,1894,1
18,1895,1
18,1896,1
18,1897,1
18,1898,1
18,1899,1
18,1900,1
18,1901,1
18,1902,1
18,1903,1
18,1904,1
18,1905,1
18,1906,1
18,1907,1
18,1908,1
18,1909,1
18,1910,1
18,1911,1
18,1912,1
18,1913,1
18,1914,1
18,1915,1
20,18,1
21,18,1
25,18,1
26,18,1
27,18,1
31,18,1
33,18,1
36,18,1
39,18,1
44,18,1
46,18,1
49,18,1
52,18,1
53,18,1
54,18,1
58,18,1
59,18,1
62,18,1
63,18,1
64,18,1
65,18,1
67,18,1
68,18,1
71,18,1
77,18,1
78,18,1
79,18,1
82,18,1
83,18,1
85,18,1
88,18,1
90,18,1
91,18,1
96,18,1
97,18,1
99,18,1
101,18,1
102,18,1
104,18,1
107,18,1
108,18,1
110,18,1
111,18,1
112,18,1
116,18,1
119,18,1
120,18,1
124,18,1
125,18,1
126,18,1
128,18,1
130,18,1
132,18,1
133,18,1
136,18,1
137,18,1
139,18,1
140,18,1
141,18,1
142,18,1
3,18,1
210,18,1
215,18,1
222,18,1
225,18,1
232,18,1
233,18,1
237,18,1
254,18,1
297,18,1
300,18,1
318,18,1
319,18,1
320,18,1
322,18,1
325,18,1
327,18,1
329,18,1
334,18,1
335,18,1
338,18,1
340,18,1
341,18,1
342,18,1
343,18,1
346,18,1
348,18,1
352,18,1
353,18,1
355,18,1
356,18,1
357,18,1
359,18,1
362,18,1
366,18,1
372,18,1
373,18,1
374,18,1
375,18,1
378,18,1
379,18,1
380,18,1
383,18,1
384,18,1
391,18,1
392,18,1
395,18,1
403,18,1
404,18,1
405,18,1
407,18,1
412,18,1
413,18,1
414,18,1
416,18,1
418,18,1
420,18,1
421,18,1
424,18,1
425,18,1
427,18,1
428,18,1
429,18,1
431,18,1
432,18,1
436,18,1
439,18,1
441,18,1
442,18,1
443,18,1
445,18,1
447,18,1
448,18,1
451,18,1
453,18,1
516,18,1
549,18,1
555,18,1
563,18,1
576,18,1
586,18,1
592,18,1
625,18,1
645,18,1
649,18,1
663,18,1
684,18,1
704,18,1
728,18,1
735,18,1
738,18,1
789,18,1
860,18,1
947,18,1
1014,18,1
1075,18,1
1173,18,1
1181,18,1
1207,18,1
1438,18,1
1460,18,1
1510,18,1
1514,18,1
1520,18,1
1532,18,1
1620,18,1
1642,18,1
1718,18,1
1778,18,1
2040,18,1
2046,18,1
2144,18,1
2256,18,1
2470,18,1
2605,18,1
2656,18,1
2744,18,1
3174,18,1
3854,18,1
4313,18,1
4703,18,1
4706,18,1
4950,18,1
5412,18,1
6401,18,1
8842,18,1
2,18,1
333,18,1
545,18,1
547,18,1
552,18,1
554,18,1
556,18,1
558,18,1
559,18,1
562,18,1
198,18,1
640,18,1
686,18,1
688,18,1
693,18,1
696,18,1
697,18,1
700,18,1
223,18,1
639,18,1
724,18,1
726,18,1
730,18,1
733,18,1
734,18,1
736,18,1
737,18,1
249,18,1
303,18,1
560,18,1
775,18,1
778,18,1
782,18,1
784,18,1
787,18,1
788,18,1
790,18,1
791,18,1
792,18,1
301,18,1
635,18,1
844,18,1
848,18,1
849,18,1
71382,18,1
1003,18,1
1106,18,1
508,18,1
965,18,1
1128,18,1
1163,18,1
165,18,1
302,18,1
385,18,1
620,18,1
627,18,1
1026,18,1
1170,18,1
1171,18,1
1184,18,1
1185,18,1
1191,18,1
195,18,1
269,18,1
629,18,1
661,18,1
746,18,1
890,18,1
1245,18,1
1252,18,1
1254,18,1
1259,18,1
1260,18,1
1263,18,1
1275,18,1
1276,18,1
71388,18,1
199,18,1
242,18,1
624,18,1
653,18,1
946,18,1
1304,18,1
1307,18,1
1313,18,1
1314,18,1
1315,18,1
1321,18,1
1390,18,1
1391,18,1
1392,18,1
1398,18,1
1400,18,1
1404,18,1
1405,18,1
1406,18,1
1407,18,1
1408,18,1
1410,18,1
1575,18,1
1576,18,1
1712,18,1
1714,18,1
1716,18,1
143,18,1
241,18,1
703,18,1
805,18,1
1738,18,1
1740,18,1
1746,18,1
1748,18,1
1750,18,1
1751,18,1
1754,18,1
1286,18,1
1779,18,1
1453,18,1
1890,18,1
1891,18,1
1892,18,1
1893,18,1
1894,18,1
1895,18,1
1896,18,1
1897,18,1
1898,18,1
1901,18,1
1903,18,1
1904,18,1
1906,18,1
1907,18,1
1908,18,1
1910,18,1
1911,18,1
1912,18,1
1913,18,1
1914,18,1
1915,18,1
191,18,1
234,18,1
769,18,1
873,18,1
983,18,1
1031,18,1
1069,18,1
1238,18,1
1476,18,1
1554,18,1
1763,18,1
1935,18,1
1975,18,1
2024,18,1
2032,18,1
2033,18,1
2034,18,1
2035,18,1
2037,18,1
2042,18,1
2043,18,1
2047,18,1
2049,18,1
2051,18,1
2052,18,1
2053,18,1
2055,18,1
2056,18,1
2057,18,1
2060,18,1
2067,18,1
1622,18,1
2115,18,1
2116,18,1
1440,18,1
1504,18,1
1529,18,1
2217,18,1
2225,18,1
2226,18,1
2228,18,1
2231,18,1
2232,18,1
2237,18,1
2242,18,1
2246,18,1
2249,18,1
145,18,1
154,18,1
167,18,1
172,18,1
270,18,1
291,18,1
456,18,1
862,18,1
896,18,1
942,18,1
1098,18,1
1133,18,1
1157,18,1
1668,18,1
1815,18,1
1933,18,1
1934,18,1
2069,18,1
2075,18,1
2308,18,1
2329,18,1
2344,18,1
2364,18,1
2369,18,1
988,18,1
2372,18,1
2386,18,1
192,18,1
217,18,1
252,18,1
288,18,1
289,18,1
652,18,1
750,18,1
971,18,1
1020,18,1
1379,18,1
2440,18,1
2444,18,1
2445,18,1
2453,18,1
2460,18,1
637,18,1
705,18,1
906,18,1
1202,18,1
1652,18,1
1762,18,1
1970,18,1
2493,18,1
2497,18,1
2499,18,1
2504,18,1
2506,18,1
870,18,1
888,18,1
927,18,1
997,18,1
1483,18,1
1552,18,1
2006,18,1
2171,18,1
2287,18,1
2528,18,1
2548,18,1
2553,18,1
2558,18,1
2561,18,1
2564,18,1
2956,18,1
3264,18,1
3683,18,1
3979,18,1
4687,18,1
5829,18,1
925,18,1
1206,18,1
1224,18,1
1431,18,1
1432,18,1
1472,18,1
1507,18,1
1512,18,1
1623,18,1
1629,18,1
1635,18,1
2101,18,1
2151,18,1
2198,18,1
2629,18,1
2630,18,1
2631,18,1
2636,18,1
2639,18,1
2641,18,1
2643,18,1
2644,18,1
2646,18,1
2650,18,1
2651,18,1
2653,18,1
2655,18,1
2713,18,1
748,18,1
911,18,1
934,18,1
1007,18,1
1219,18,1
1283,18,1
2008,18,1
2084,18,1
2104,18,1
2201,18,1
2276,18,1
2678,18,1
2754,18,1
3352,18,1
4783,18,1
212,18,1
239,18,1
273,18,1
460,18,1
492,18,1
572,18,1
610,18,1
759,18,1
762,18,1
957,18,1
1006,18,1
1210,18,1
1284,18,1
1647,18,1
1766,18,1
1916,18,1
1945,18,1
1990,18,1
2272,18,1
2401,18,1
2476,18,1
2576,18,1
2786,18,1
2787,18,1
2788,18,1
2796,18,1
2805,18,1
2860,18,1
3429,18,1
3723,18,1
4525,18,1
5095,18,1
5462,18,1
6383,18,1
7484,18,1
2694,18,1
2817,18,1
2820,18,1
2862,18,1
2865,18,1
2870,18,1
2872,18,1
2873,18,1
213,18,1
485,18,1
487,18,1
617,18,1
636,18,1
825,18,1
1018,18,1
1025,18,1
1346,18,1
1477,18,1
1527,18,1
1551,18,1
2174,18,1
2290,18,1
2696,18,1
2995,18,1
3420,18,1
3505,18,1
3560,18,1
3766,18,1
3830,18,1
3832,18,1
3835,18,1
3864,18,1
3901,18,1
3929,18,1
3932,18,1
4109,18,1
4219,18,1
4333,18,1
4556,18,1
4557,18,1
5667,18,1
5778,18,1
6378,18,1
6761,18,1
8513,18,1
8686,18,1
9997,18,1
609,18,1
630,18,1
656,18,1
671,18,1
751,18,1
824,18,1
952,18,1
1227,18,1
1228,18,1
1232,18,1
1235,18,1
2156,18,1
2433,18,1
2928,18,1
2931,18,1
2949,18,1
2950,18,1
2953,18,1
2970,18,1
2973,18,1
2975,18,1
2976,18,1
2978,18,1
2980,18,1
2981,18,1
2986,18,1
2992,18,1
3142,18,1
4345,18,1
4560,18,1
4929,18,1
4955,18,1
5257,18,1
5908,18,1
6055,18,1
6342,18,1
10912,18,1
15109,18,1
71395,18,1
71396,18,1
1707,18,1
1955,18,1
3076,18,1
251,18,1
2206,18,1
3109,18,1
3110,18,1
3117,18,1
909,18,1
3176,18,1
3180,18,1
1021,18,1
1142,18,1
1606,18,1
1765,18,1
2016,18,1
2097,18,1
2411,18,1
3254,18,1
3261,18,1
3262,18,1
3263,18,1
3268,18,1
3270,18,1
3274,18,1
3277,18,1
3278,18,1
3282,18,1
3283,18,1
4070,18,1
4115,18,1
4123,18,1
4785,18,1
5934,18,1
71400,18,1
228,18,1
488,18,1
1690,18,1
1962,18,1
2729,18,1
3321,18,1
3328,18,1
634,18,1
803,18,1
907,18,1
277,18,1
514,18,1
535,18,1
960,18,1
1225,18,1
2140,18,1
2698,18,1
2810,18,1
3361,18,1
3369,18,1
3371,18,1
3694,18,1
147,18,1
188,18,1
540,18,1
642,18,1
955,18,1
1428,18,1
1430,18,1
1489,18,1
1645,18,1
1650,18,1
1657,18,1
1836,18,1
1883,18,1
1885,18,1
1918,18,1
1994,18,1
2070,18,1
2082,18,1
2088,18,1
2572,18,1
2574,18,1
2706,18,1
2728,18,1
2750,18,1
3039,18,1
3138,18,1
3234,18,1
3401,18,1
3403,18,1
3405,18,1
3408,18,1
3412,18,1
3418,18,1
3423,18,1
3425,18,1
3431,18,1
3432,18,1
3434,18,1
3438,18,1
3454,18,1
3457,18,1
3458,18,1
3497,18,1
3498,18,1
3499,18,1
3500,18,1
3501,18,1
3502,18,1
3503,18,1
3511,18,1
3527,18,1
3533,18,1
3534,18,1
3555,18,1
3720,18,1
3887,18,1
3919,18,1
3984,18,1
3993,18,1
4045,18,1
4050,18,1
4072,18,1
4161,18,1
4165,18,1
4167,18,1
4170,18,1
4187,18,1
4202,18,1
4282,18,1
4320,18,1
4397,18,1
4415,18,1
4511,18,1
4676,18,1
4952,18,1
4970,18,1
4978,18,1
5119,18,1
5178,18,1
5205,18,1
5206,18,1
5209,18,1
5659,18,1
5679,18,1
5758,18,1
5789,18,1
5966,18,1
6084,18,1
6156,18,1
6159,18,1
6245,18,1
6247,18,1
6371,18,1
6420,18,1
6839,18,1
6853,18,1
7429,18,1
7619,18,1
7637,18,1
7643,18,1
7935,18,1
7961,18,1
8019,18,1
8040,18,1
8061,18,1
8136,18,1
8158,18,1
8288,18,1
8684,18,1
8969,18,1
9736,18,1
10606,18,1
10675,18,1
10856,18,1
11052,18,1
11278,18,1
11333,18,1
11695,18,1
11852,18,1
15335,18,1
15923,18,1
17581,18,1
18931,18,1
19660,18,1
20090,18,1
34981,18,1
71402,18,1
71403,18,1
71404,18,1
1953,18,1
2279,18,1
2525,18,1
2549,18,1
3379,18,1
3554,18,1
3557,18,1
3559,18,1
3564,18,1
3673,18,1
3677,18,1
570,18,1
3679,18,1
3688,18,1
1544,18,1
3714,18,1
1519,18,1
3906,18,1
669,18,1
1564,18,1
670,18,1
1288,18,1
4038,18,1
4039,18,1
4040,18,1
4043,18,1
4051,18,1
4060,18,1
4061,18,1
1494,18,1
1732,18,1
4116,18,1
4185,18,1
4186,18,1
4231,18,1
814,18,1
1242,18,1
2107,18,1
2686,18,1
4259,18,1
4274,18,1
4276,18,1
709,18,1
2538,18,1
3595,18,1
4010,18,1
4316,18,1
4317,18,1
4321,18,1
4323,18,1
4325,18,1
4330,18,1
4331,18,1
4332,18,1
4334,18,1
4338,18,1
4343,18,1
4363,18,1
5916,18,1
1471,18,1
3780,18,1
4418,18,1
4421,18,1
1720,18,1
4523,18,1
606,18,1
644,18,1
1445,18,1
1503,18,1
3306,18,1
4081,18,1
4552,18,1
4554,18,1
4558,18,1
4564,18,1
4577,18,1
4603,18,1
4798,18,1
5286,18,1
5474,18,1
6077,18,1
3825,18,1
4618,18,1
525,18,1
970,18,1
1059,18,1
1702,18,1
1724,18,1
1811,18,1
2695,18,1
3965,18,1
4197,18,1
4545,18,1
4685,18,1
4688,18,1
4690,18,1
4701,18,1
839,18,1
4770,18,1
828,18,1
831,18,1
1631,18,1
1653,18,1
1705,18,1
2153,18,1
3579,18,1
3985,18,1
3995,18,1
4782,18,1
4790,18,1
4791,18,1
4792,18,1
1699,18,1
2098,18,1
3226,18,1
4862,18,1
4867,18,1
4877,18,1
4886,18,1
4019,18,1
1441,18,1
1626,18,1
1694,18,1
3514,18,1
3880,18,1
3892,18,1
4016,18,1
4834,18,1
4941,18,1
4944,18,1
4949,18,1
4957,18,1
4961,18,1
4962,18,1
4963,18,1
4966,18,1
4967,18,1
4972,18,1
4977,18,1
4982,18,1
238,18,1
279,18,1
290,18,1
1433,18,1
1473,18,1
2105,18,1
3576,18,1
4102,18,1
4803,18,1
5061,18,1
5078,18,1
5328,18,1
8038,18,1
71405,18,1
4368,18,1
1434,18,1
771,18,1
1882,18,1
3585,18,1
5138,18,1
5141,18,1
5147,18,1
1496,18,1
5177,18,1
1522,18,1
1541,18,1
2197,18,1
2356,18,1
3704,18,1
4199,18,1
5241,18,1
5246,18,1
5248,18,1
5255,18,1
5256,18,1
5263,18,1
5266,18,1
5275,18,1
5278,18,1
5283,18,1
6176,18,1
1234,18,1
2277,18,1
2732,18,1
2736,18,1
3223,18,1
3828,18,1
4032,18,1
5181,18,1
5318,18,1
5329,18,1
2680,18,1
5354,18,1
5355,18,1
747,18,1
3655,18,1
5385,18,1
3240,18,1
5415,18,1
4112,18,1
2108,18,1
2735,18,1
5410,18,1
5632,18,1
5644,18,1
5663,18,1
1665,18,1
5674,18,1
5675,18,1
5681,18,1
459,18,1
2275,18,1
4214,18,1
4907,18,1
5762,18,1
5770,18,1
5776,18,1
3005,18,1
5812,18,1
5813,18,1
5840,18,1
1495,18,1
1518,18,1
1950,18,1
3875,18,1
4017,18,1
5941,18,1
5951,18,1
5952,18,1
5955,18,1
5958,18,1
5962,18,1
5965,18,1
5967,18,1
1528,18,1
5344,18,1
6144,18,1
2679,18,1
6041,18,1
6045,18,1
6053,18,1
668,18,1
2013,18,1
4205,18,1
6114,18,1
4757,18,1
6168,18,1
6170,18,1
607,18,1
1454,18,1
2526,18,1
5307,18,1
6285,18,1
6301,18,1
5056,18,1
840,18,1
3386,18,1
6365,18,1
6419,18,1
1455,18,1
530,18,1
1860,18,1
6555,18,1
6560,18,1
6562,18,1
6563,18,1
3990,18,1
6601,18,1
6613,18,1
6618,18,1
1863,18,1
6625,18,1
6629,18,1
6688,18,1
6692,18,1
1656,18,1
5023,18,1
6710,18,1
6717,18,1
6730,18,1
6736,18,1
4406,18,1
6809,18,1
1017,18,1
1436,18,1
1501,18,1
1523,18,1
2167,18,1
3774,18,1
5580,18,1
5864,18,1
6861,18,1
6868,18,1
919,18,1
6001,18,1
6893,18,1
6904,18,1
1463,18,1
1497,18,1
1659,18,1
6960,18,1
6962,18,1
6963,18,1
1655,18,1
7059,18,1
4537,18,1
4596,18,1
6255,18,1
6752,18,1
1556,18,1
3583,18,1
4661,18,1
7131,18,1
1678,18,1
3806,18,1
7075,18,1
7172,18,1
908,18,1
1636,18,1
5939,18,1
7243,18,1
3921,18,1
7303,18,1
7312,18,1
7318,18,1
146,18,1
469,18,1
707,18,1
1039,18,1
1608,18,1
1985,18,1
2607,18,1
2914,18,1
3737,18,1
5393,18,1
5518,18,1
7329,18,1
7332,18,1
7788,18,1
26161,18,1
1144,18,1
7365,18,1
5437,18,1
5724,18,1
6183,18,1
5060,18,1
6318,18,1
468,18,1
1359,18,1
1979,18,1
2019,18,1
294,18,1
6653,18,1
16313,18,1
176,18,1
5514,18,1
186,18,1
4761,18,1
1927,18,1
2827,18,1
4188,18,1
4902,18,1
808,18,1
2410,18,1
4725,18,1
4828,18,1
7692,18,1
11007,18,1
1443,18,1
1469,18,1
1209,18,1
1946,18,1
7784,18,1
7817,18,1
4003,18,1
6004,18,1
206,18,1
1728,18,1
7837,18,1
904,18,1
3738,18,1
7872,18,1
7885,18,1
214,18,1
5161,18,1
7881,18,1
2189,18,1
4410,18,1
5594,18,1
6358,18,1
7884,18,1
7892,18,1
7896,18,1
4080,18,1
7912,18,1
1614,18,1
1646,18,1
1857,18,1
2684,18,1
3986,18,1
7920,18,1
7922,18,1
7949,18,1
11568,18,1
7051,18,1
3225,18,1
5428,18,1
8002,18,1
8003,18,1
3488,18,1
246,18,1
1382,18,1
3666,18,1
749,18,1
8062,18,1
8156,18,1
8170,18,1
1378,18,1
4306,18,1
8238,18,1
5754,18,1
6359,18,1
8244,18,1
8248,18,1
7664,18,1
1692,18,1
8268,18,1
8280,18,1
8286,18,1
8291,18,1
1930,18,1
8303,18,1
8307,18,1
7918,18,1
526,18,1
1423,18,1
6701,18,1
8334,18,1
8344,18,1
2092,18,1
274,18,1
3507,18,1
7114,18,1
801,18,1
3582,18,1
4407,18,1
5359,18,1
2286,18,1
5831,18,1
8423,18,1
8425,18,1
8434,18,1
8436,18,1
8440,18,1
8441,18,1
3837,18,1
5499,18,1
3222,18,1
3589,18,1
4206,18,1
6837,18,1
8530,18,1
8532,18,1
8539,18,1
1831,18,1
622,18,1
2188,18,1
2203,18,1
5373,18,1
8029,18,1
8557,18,1
8562,18,1
8564,18,1
8569,18,1
891,18,1
1526,18,1
1637,18,1
2212,18,1
3011,18,1
4169,18,1
4394,18,1
6402,18,1
6824,18,1
8592,18,1
8594,18,1
8613,18,1
8616,18,1
15653,18,1
4679,18,1
836,18,1
1490,18,1
1508,18,1
8680,18,1
3827,18,1
3879,18,1
518,18,1
8836,18,1
308,18,1
3594,18,1
1030,18,1
9008,18,1
9023,18,1
6326,18,1
3925,18,1
9140,18,1
5604,18,1
8140,18,1
8483,18,1
8732,18,1
9100,18,1
9155,18,1
9157,18,1
3210,18,1
8941,18,1
537,18,1
6095,18,1
9223,18,1
3241,18,1
1976,18,1
1539,18,1
5027,18,1
8989,18,1
9252,18,1
9254,18,1
9257,18,1
1867,18,1
2152,18,1
3859,18,1
3939,18,1
5033,18,1
5380,18,1
8754,18,1
8974,18,1
9294,18,1
9296,18,1
9306,18,1
9310,18,1
9313,18,1
9315,18,1
9323,18,1
9329,18,1
9331,18,1
9335,18,1
9345,18,1
17495,18,1
18343,18,1
32059,18,1
929,18,1
6243,18,1
9356,18,1
9365,18,1
8128,18,1
9404,18,1
1805,18,1
1849,18,1
2003,18,1
2826,18,1
6014,18,1
6827,18,1
7408,18,1
9430,18,1
4832,18,1
1661,18,1
5581,18,1
6219,18,1
9487,18,1
9491,18,1
1465,18,1
2175,18,1
3941,18,1
8060,18,1
2751,18,1
5886,18,1
616,18,1
1511,18,1
1684,18,1
9591,18,1
5032,18,1
9646,18,1
1967,18,1
1978,18,1
9673,18,1
1919,18,1
5690,18,1
898,18,1
1840,18,1
6501,18,1
9820,18,1
9841,18,1
9846,18,1
543,18,1
876,18,1
3131,18,1
7430,18,1
9881,18,1
8021,18,1
10002,18,1
4527,18,1
10068,18,1
10080,18,1
4296,18,1
623,18,1
10159,18,1
5371,18,1
10210,18,1
5942,18,1
4607,18,1
6391,18,1
5752,18,1
10297,18,1
10306,18,1
9075,18,1
6941,18,1
8827,18,1
10378,18,1
1735,18,1
2402,18,1
2747,18,1
5102,18,1
5511,18,1
3525,18,1
9458,18,1
10497,18,1
1084,18,1
3198,18,1
1920,18,1
10595,18,1
4399,18,1
7622,18,1
8018,18,1
6324,18,1
18902,18,1
5795,18,1
10672,18,1
1500,18,1
1853,18,1
2481,18,1
7110,18,1
1986,18,1
4656,18,1
7031,18,1
10695,18,1
10700,18,1
10702,18,1
10704,18,1
10705,18,1
1865,18,1
3165,18,1
10782,18,1
8716,18,1
8030,18,1
10838,18,1
10847,18,1
9768,18,1
10892,18,1
10914,18,1
465,18,1
10937,18,1
10938,18,1
2623,18,1
1960,18,1
1949,18,1
3935,18,1
1961,18,1
1941,18,1
1943,18,1
8200,18,1
71391,18,1
1968,18,1
11089,18,1
9651,18,1
11094,18,1
11114,18,1
5427,18,1
519,18,1
539,18,1
10459,18,1
11230,18,1
11231,18,1
11238,18,1
11271,18,1
3519,18,1
3591,18,1
6393,18,1
10413,18,1
11288,18,1
1767,18,1
8860,18,1
11318,18,1
3134,18,1
6772,18,1
11328,18,1
5510,18,1
968,18,1
2100,18,1
2270,18,1
5191,18,1
9619,18,1
10182,18,1
10219,18,1
1669,18,1
1721,18,1
1727,18,1
2704,18,1
3089,18,1
3474,18,1
7035,18,1
8130,18,1
11519,18,1
12352,18,1
18261,18,1
19655,18,1
1879,18,1
1971,18,1
7559,18,1
8823,18,1
8867,18,1
10485,18,1
8976,18,1
11520,18,1
11521,18,1
5750,18,1
11653,18,1
11654,18,1
2889,18,1
6518,18,1
6793,18,1
11683,18,1
821,18,1
11711,18,1
11747,18,1
1517,18,1
2697,18,1
4821,18,1
8985,18,1
11763,18,1
11765,18,1
11766,18,1
3888,18,1
5309,18,1
6820,18,1
10792,18,1
11813,18,1
19885,18,1
1634,18,1
1991,18,1
4024,18,1
4200,18,1
5873,18,1
6381,18,1
8133,18,1
8634,18,1
9057,18,1
9743,18,1
11859,18,1
11860,18,1
